start_date,mid_date,end_date,firm_coarse,firm_index,tpp_alp,tpp_lnc,tpp_alp_se,tpp_lnc_se,day_index
2010-08-02,2010-08-02,2010-08-02,Essential,2,0.54,0.46,0.015366251104410675,0.015366251104410675,2214
2010-08-03,2010-08-03,2010-08-03,Morgan,6,0.5,0.5,0.014802231160433424,0.014802231160433424,2215
2010-08-06,2010-08-07,2010-08-08,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2219
2010-08-07,2010-08-08,2010-08-08,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,2220
2010-08-09,2010-08-09,2010-08-09,Essential,2,0.52,0.48,0.015403322934173933,0.015403322934173933,2221
2010-08-14,2010-08-14,2010-08-14,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,2226
2010-08-13,2010-08-14,2010-08-15,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,2226
2010-08-14,2010-08-15,2010-08-15,Morgan,6,0.52,0.48,0.014790384634997942,0.014790384634997942,2227
2010-08-16,2010-08-16,2010-08-16,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2228
2010-08-17,2010-08-17,2010-08-17,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2229
2010-08-17,2010-08-18,2010-08-19,Newspoll,7,0.502,0.498,0.012905540077432115,0.012905540077432115,2230
2010-08-18,2010-08-19,2010-08-20,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,2231
2010-08-18,2010-08-19,2010-08-19,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,2231
2010-08-20,2010-08-20,2010-08-20,Essential,2,0.51,0.49,0.015412576959000408,0.015412576959000408,2232
2010-08-21,2010-08-21,2010-08-21,Morgan,6,0.5125,0.4875,0.014797604740204643,0.014797604740204641,2233
2010-08-21,2010-08-21,2010-08-21,Newspoll,7,0.501,0.499,0.012905617511679226,0.012905617511679226,2233
2012-09-08,2012-09-12,2012-09-16,Morgan,6,0.465,0.535,0.014765921159717884,0.014765921159717886,2986
2012-09-14,2012-09-15,2012-09-16,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,2989
2012-09-17,2012-09-19,2012-09-20,Morgan,6,0.495,0.505,0.014801491030371688,0.014801491030371688,2993
2012-09-22,2012-09-23,2012-09-23,Morgan,6,0.48,0.52,0.014790384634997942,0.014790384634997942,2997
2012-09-29,2012-10-03,2012-10-07,Morgan,6,0.48,0.52,0.014790384634997942,0.014790384634997942,3007
2012-10-05,2012-10-06,2012-10-07,Newspoll,7,0.46,0.54,0.012864278975168645,0.012864278975168645,3010
2012-10-13,2012-10-17,2012-10-21,Morgan,6,0.505,0.495,0.014801491030371688,0.014801491030371688,3021
2012-10-26,2012-10-27,2012-10-28,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,3031
2012-10-27,2012-10-31,2012-11-04,Morgan,6,0.465,0.535,0.014765921159717884,0.014765921159717886,3035
2012-11-09,2012-11-10,2012-11-11,Newspoll,7,0.49,0.51,0.012903061936162584,0.012903061936162584,3045
